#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1748938749449229824,0.0,0.0,-10.0,1.0,0.0,0.0,0.0
1748938750614907904,0.0,0.0,-9.199999809265137,1.0,0.0,0.0,0.0
1748938751949632256,0.0,0.0,-8.399999618530273,1.0,0.0,0.0,0.0
1748938753313988608,0.0,0.0,-7.599999904632568,1.0,0.0,0.0,0.0
1748938754624150272,0.0,0.0,-6.800000190734863,1.0,0.0,0.0,0.0
1748938755951960576,0.0,0.0,-6.0,1.0,0.0,0.0,0.0
1748938757294660864,0.0,0.0,-5.199999809265137,1.0,0.0,0.0,0.0
1748938758631860736,0.0,0.0,-4.400000095367432,1.0,0.0,0.0,0.0
1748938759944950272,0.0,0.0,-3.5999999046325684,1.0,0.0,0.0,0.0
1748938761292980224,0.0,0.0,-2.799999952316284,1.0,0.0,0.0,0.0
1748938762620100352,0.0,0.0,-2.0,1.0,0.0,0.0,0.0
